1	7	58	21	3	5	18	8	61	1	4	43	5	53	1	9	1	98	28	53	62	1	1	1	2	1	
2	2	1	1	22	1	1	1	183	1	1	26	1	1	2	1	1	6	17	1	6	1	1	1	1	1	
37	1	70	1	63	1	1	24	320	1	9	17	1	1	33	1	1	46	6	54	17	1	1	1	1	1	
12	1	7	25	45	1	10	1	62	1	1	8	4	3	3	1	1	11	1	1	3	2	1	1	6	1	
80	1	50	74	89	3	1	1	6	1	1	32	9	76	19	9	1	237	223	34	8	2	1	7	1	1	
4	1	1	1	13	46	1	1	79	1	1	12	1	1	4	1	1	11	1	8	1	1	1	1	1	1	
25	1	1	2	83	1	37	25	39	1	1	3	1	29	4	1	1	52	7	1	22	1	1	1	1	1	
15	12	1	3	20	1	1	25	24	1	1	7	1	9	22	1	1	15	1	26	1	1	1	1	1	1	
26	1	60	26	23	1	9	1	1	1	1	38	14	82	41	7	1	16	71	64	1	1	1	1	1	7	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
4	1	1	1	15	1	8	1	5	1	1	3	1	17	1	1	1	1	5	1	1	1	1	1	1	1	
24	1	1	6	48	1	1	1	217	1	1	211	2	1	29	1	1	2	12	7	3	2	1	1	11	1	
15	10	1	1	33	1	1	1	42	1	1	1	180	7	7	31	1	1	9	1	4	1	1	1	1	1	
21	1	42	71	68	1	160	1	191	1	1	1	17	144	21	1	1	1	127	87	43	1	1	1	2	1	
11	4	3	6	8	1	5	1	4	1	1	13	9	70	26	20	1	98	20	13	47	2	5	1	1	1	
25	1	1	1	22	1	1	12	15	1	1	28	1	1	30	93	1	58	1	18	2	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18	1	1	1	1	1	
63	4	12	19	188	1	11	5	132	1	3	33	7	157	21	2	1	277	103	68	1	10	1	1	27	1	
16	1	27	1	74	1	1	18	231	1	1	2	1	1	30	30	1	4	265	124	21	1	1	1	1	1	
24	1	2	1	76	1	7	49	427	1	1	31	3	3	11	1	1	203	5	137	14	1	4	1	2	1	
26	6	9	10	15	1	1	1	28	1	1	39	2	111	1	1	1	129	31	66	1	1	1	1	1	1	
9	1	1	1	58	1	1	1	31	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	
40	1	1	1	11	1	1	11	15	1	1	1	1	2	2	1	1	2	24	1	1	1	1	1	1	1	
1	1	17	1	3	1	1	1	1	1	1	1	1	1	1	6	1	1	1	5	1	1	1	1	1	1	
2	1	34	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	17	1	1	1	1	1	1	1	
1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	
20	14	41	31	20	20	7	6	20	3	6	22	16	5	5	17	1	28	26	6	2	1	24	1	1	2
