15	1	14	7	10	1	1	1	33	1	4	31	2	39	12	4	3	28	134	7	28	1	1	1	4	1	
3	11	1	1	7	1	1	1	50	1	1	15	1	1	1	1	1	5	16	1	1	3	1	1	1	1	
19	1	54	1	13	1	1	18	50	1	3	1	1	1	7	1	1	7	25	7	8	4	1	1	1	1	
18	1	3	17	14	2	1	1	9	1	1	6	1	9	13	1	1	6	119	1	1	1	1	1	5	1	
39	2	8	76	147	2	1	1	4	1	3	4	6	27	5	1	1	83	417	6	4	1	10	2	8	1	
1	1	1	1	2	27	1	1	12	1	1	10	1	1	1	1	1	5	23	1	1	1	1	1	1	1	
8	1	1	1	5	1	5	12	8	1	1	2	1	1	1	1	1	5	69	2	3	1	1	1	1	1	
4	1	1	1	24	1	10	18	17	2	1	1	1	1	4	1	1	16	24	22	1	1	5	1	3	1	
10	3	13	13	25	1	1	1	69	2	1	17	11	33	27	1	1	9	30	29	11	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
2	4	1	1	9	1	1	1	1	1	1	1	1	1	2	1	1	1	95	1	1	1	1	1	4	1	
3	1	1	1	38	1	1	1	79	1	2	128	1	1	7	1	1	1	97	7	3	1	1	1	2	1	
11	1	1	1	17	1	1	1	6	1	1	1	102	44	7	2	1	1	47	1	2	1	1	1	1	1	
15	5	7	13	52	4	17	1	34	1	1	1	26	99	12	1	1	2	156	53	1	1	1	1	1	1	
14	1	1	3	7	2	1	1	28	1	1	6	3	13	64	30	1	16	59	4	19	1	1	1	1	1	
23	1	1	1	10	1	1	20	3	1	1	2	1	1	26	70	1	29	52	9	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
15	2	1	1	89	1	1	2	64	1	1	5	9	7	10	1	1	132	273	29	7	1	1	1	10	1	
13	1	7	20	41	1	1	50	101	1	2	2	10	7	3	1	1	1	205	49	7	1	1	1	7	1	
39	1	1	3	65	1	10	24	59	1	1	6	3	1	23	1	1	54	264	183	11	1	5	1	6	1	
15	1	3	1	9	1	1	1	24	1	1	3	3	9	1	3	1	49	19	27	26	1	1	2	3	1	
1	2	1	1	36	1	1	1	10	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	
1	1	1	1	10	1	1	1	1	1	1	1	1	2	1	1	1	1	8	1	2	1	4	1	1	1	
1	1	18	1	1	1	1	6	1	1	1	1	1	1	3	1	1	1	2	1	1	1	1	1	1	1	
5	1	2	1	3	1	1	1	2	1	1	1	1	6	1	1	1	1	33	1	13	1	1	1	2	1	
2	1	1	1	5	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	
46	8	9	8	26	11	14	3	5	1	17	5	6	2	2	10	1	6	23	2	11	1	2	1	1	2	
