54	7956	16131	15958	323	3583	7415	440	12938	473	4209	36499	10344	71393	188	6625	59	38644	34480	52212	4097	7740	2489	737	9446	605
6045	552	27	41	22129	1	12	9	3723	624	2	8693	139	16	7985	9	0	4064	1394	499	8029	214	15	0	5703	0
18545	24	2411	36	22270	23	7	21221	8701	1	6031	5354	33	46	27254	8	144	5204	710	14000	4625	1	3	0	1163	15
5689	103	95	1747	26916	70	1100	151	16008	217	16	1519	601	230	7148	25	67	3595	4474	74	4459	608	302	0	2219	3
26523	822	15577	45645	15112	5468	4054	895	6128	144	876	19268	13090	50767	2318	6064	1645	74040	44876	15733	792	9565	4898	6851	6084	178
6123	21	4	7	8450	5200	6	7	10062	2	5	2353	9	16	18223	2	0	7751	121	3049	3561	0	19	0	286	0
5615	29	0	38	13409	57	1113	9800	5379	0	4	2202	251	2182	5490	10	0	7369	1937	646	2763	1	16	0	559	4
36646	204	91	63	121994	79	11	39	31937	1	9	519	412	973	19240	29	18	3181	460	5729	2910	9	199	0	1660	12
8491	3127	23558	11916	12970	7091	9738	35	51	36	2135	16739	12279	87816	25186	3198	434	11588	40893	40774	409	9178	23	675	7	2292
925	4	0	10	1553	0	0	0	115	0	0	0	0	1	2084	0	0	75	1	0	2420	0	0	0	2	0
701	40	13	26	10130	109	76	156	3899	18	21	535	60	2262	356	29	1	102	1716	52	82	2	94	0	378	0
17927	246	310	10951	30921	1991	205	80	22554	0	1041	22734	1107	197	13929	803	4	427	4681	3858	4607	1121	527	0	17190	19
20121	3428	169	14	29234	153	35	17	11427	0	6	179	3277	354	12658	7685	0	1416	3449	43	4601	8	24	0	2182	0
10961	171	13837	48378	26704	1932	37239	370	12332	374	2226	2690	817	3392	16636	218	187	348	16665	34474	2772	1603	216	98	4147	105
2756	3491	5412	6697	1558	39356	2948	846	3207	222	2948	12801	20172	59339	9926	7960	40	45418	10346	15639	35223	6928	12996	493	1450	182
10993	26	9	9	16935	63	16	2997	4909	4	33	9383	621	22	11988	5131	1	15113	1954	3022	3593	1	43	0	339	0
0	0	0	0	1	0	0	0	0	0	0	10	0	4	0	0	0	0	0	0	4914	1	2	0	0	0
22804	955	3774	6888	65654	1102	3328	687	24411	6	3472	3586	5667	5993	26417	1528	34	4077	15307	12472	4515	2201	428	11	8403	30
8663	336	5195	263	31212	523	61	13040	19364	3	1824	2538	2494	499	14066	6765	383	138	14054	40378	10392	41	1155	3	1727	20
18568	111	1536	58	41988	307	70	133306	42281	1	15	4269	1079	311	40542	90	0	14278	11715	7193	8381	59	2670	0	7106	147
4307	3172	6134	3282	4808	673	5363	52	3757	24	80	12456	4554	15228	397	5258	8	18228	16501	16304	34	89	2	164	214	114
4198	0	2	6	29793	0	0	0	8796	0	0	5	0	1	2352	3	0	22	41	3	81	2	0	0	197	1
18425	68	25	195	13562	46	3	14686	14826	0	58	519	51	3388	8831	54	0	1236	1151	208	77	0	4	0	106	1
859	2	897	0	630	22	3	131	1022	0	0	20	1	3	101	2397	7	9	3	1458	128	1	13	4	86	0
661	350	325	153	4140	38	75	50	1263	4	39	503	858	417	5860	684	0	380	3297	785	52	7	235	0	3	56
773	7	0	0	1952	1	38	6	475	0	11	107	3	0	211	0	2	4	2	1	29	8	5	0	107	340
