19134	153860	319936	232023	12677	59716	184186	26494	200909	8624	64385	640327	229023	1054224	9695	150499	8824	687560	435509	806098	86106	127025	41778	18305	167490	19192
136227	11707	8517	4671	272126	2185	1682	3206	87141	13557	702	141556	10606	3539	142803	4431	272	74709	44060	8109	115507	1523	1975	644	98591	579
359648	4604	59229	15553	379782	5038	3805	341704	151143	977	137806	116328	7892	6612	524903	9431	2466	99277	40784	288987	95653	3642	3142	700	40250	1417
232797	61549	44587	65139	463442	37154	28211	28007	333024	8195	5006	35777	41110	25693	177066	35349	2260	77927	141130	109767	102422	35770	38605	1280	32121	885
559390	126660	398369	575144	274519	147437	115127	56822	161355	11555	25341	379315	297766	773148	147708	194365	34535	1192147	973263	428126	48619	149779	200030	133567	84189	5724
114286	7435	18418	8975	134400	89273	6504	9490	197536	2078	1484	43356	12429	6057	327487	14172	597	144397	22185	131713	61621	2607	8395	946	17241	365
141914	13665	19272	11627	285022	15223	19922	120386	120059	1583	2389	40115	14804	46923	110215	16163	692	120282	59100	57520	59679	2410	11746	561	23237	1051
412062	10373	16113	10409	1064985	9439	4370	7802	340419	1899	2023	14166	18259	26704	330372	14939	2170	48120	25182	105295	38235	2686	11064	496	26093	1505
190428	59031	456631	179055	249336	106542	162549	8289	11538	4132	30045	306032	154721	1348126	458668	82826	7143	170414	565313	607864	10657	155359	9379	14481	1212	34322
41929	623	1078	721	37474	372	285	409	4839	362	952	417	759	493	45292	1587	28	1374	1167	445	40546	430	348	56	108	80
34103	9208	7195	4445	141192	8587	4713	10624	86155	1979	2121	12415	7187	24284	22594	7044	370	7404	62180	20719	6789	1373	6040	353	9613	340
352796	31604	40466	126318	525336	35655	13872	11815	452391	2846	15187	366102	29616	13841	283579	49566	1112	26904	135566	109100	86103	18034	15501	868	160525	1151
402610	77209	16267	8746	509585	9783	5758	6653	190909	1817	1563	12663	78639	9567	213436	142572	415	9800	81878	27144	66951	2427	8535	1272	41218	416
318351	34133	247378	680188	484262	87291	546718	27926	253592	13465	55292	68538	45843	76235	306181	35926	3316	25506	324588	717202	74657	34351	28502	2349	71493	4594
82322	85209	136718	145588	33985	449483	95371	28357	61972	12112	63376	235530	382708	1004617	175413	190776	1372	859984	198213	324193	529138	117633	199726	16806	32247	4509
248985	5533	14496	14873	251264	7503	5759	75613	96296	757	1672	170016	32676	4113	237032	98750	1020	312689	49369	69013	72571	1862	4653	871	20643	515
1177	250	523	284	252	425	152	293	992	69	81	2075	345	288	250	358	165	823	1357	924	82814	156	386	76	69	42
461354	38380	142787	143803	1086691	44073	67747	23005	481545	4676	76733	67369	135363	115575	466086	59641	2765	84575	314982	311749	84799	70488	31239	1773	160713	2710
311381	55547	168865	43137	581659	67928	22466	213228	414830	6783	38545	59776	70519	45817	314670	170108	7505	43789	310812	787283	183181	13174	73122	2439	46765	1826
423445	37163	73580	32312	809486	36111	16711	1332102	798345	5367	5921	65109	55941	27729	685487	44815	1720	269965	299724	192229	158171	13685	81183	3840	152141	3990
82270	67656	107025	63467	84576	14165	57368	5249	69671	1452	13727	157520	100070	229874	9110	93886	596	359576	306771	224992	1702	4098	7319	6055	16333	2949
100615	1593	2673	9487	423866	700	1594	1369	231403	154	215	1389	1274	1167	35403	1605	86	2170	5175	1893	1912	692	1164	478	2247	75
166166	5415	7393	5988	187273	5117	2301	120421	214861	2666	1626	9943	7151	44966	117708	8128	272	20427	61523	18074	2858	1496	19622	1142	8932	1019
17184	3062	16257	2096	15539	3395	1351	3192	18303	301	389	2145	5003	1353	4604	33782	207	2114	4083	36286	4074	1536	1544	5547	3727	233
67235	27916	40658	23570	70007	23082	11974	16781	40887	5464	3774	27987	36299	23672	202644	47705	1360	32130	105706	62726	8493	5665	26501	741	3967	2027
15505	824	998	1011	30383	454	402	993	14245	313	371	1557	841	599	12260	602	61	953	1234	750	2966	256	549	160	2020	4069
